GEOID,2014_Filings,2015_Filings,2016_Filings,Total_Filings,2014_Evictions,2015_Evictions,2016_Evictions,Total_Evictions,Rate_2014,Rate_2015,Rate_2016,eviction-rate
12057005500,12,7,17,36,6,3,9,18,0.5,0.428571429,0.529411765,0.5
12057005700,29,28,29,86,11,17,23,51,0.379310345,0.607142857,0.793103448,0.593023256
12057005800,8,17,23,48,3,7,10,20,0.375,0.411764706,0.434782609,0.416666667
12057005900,3,4,10,17,0,1,7,8,0,0.25,0.7,0.470588235
12057006000,19,16,18,53,5,10,11,26,0.263157895,0.625,0.611111111,0.490566038
12057006101,3,9,2,14,0,4,0,4,0,0.444444444,0,0.285714286
12057006103,3,12,15,30,0,5,4,9,0,0.416666667,0.266666667,0.3
12057006200,7,8,6,21,1,7,2,10,0.142857143,0.875,0.333333333,0.476190476
12057006300,3,4,1,8,1,1,1,3,0.333333333,0.25,1,0.375
12057006400,1,4,14,19,0,2,7,9,0,0.5,0.5,0.473684211
12057006501,13,26,24,63,10,15,7,32,0.769230769,0.576923077,0.291666667,0.507936508
12057006502,23,17,19,59,11,7,9,27,0.47826087,0.411764706,0.473684211,0.457627119
12057006600,13,24,18,55,4,7,10,21,0.307692308,0.291666667,0.555555556,0.381818182
12057006700,5,7,10,22,3,4,6,13,0.6,0.571428571,0.6,0.590909091
12057006801,42,77,81,200,26,41,39,106,0.619047619,0.532467532,0.481481481,0.53
12057006802,9,10,3,22,3,6,2,11,0.333333333,0.6,0.666666667,0.5
12057006900,50,60,40,150,26,32,23,81,0.52,0.533333333,0.575,0.54
12057007001,34,43,46,123,14,22,16,52,0.411764706,0.511627907,0.347826087,0.422764228
12057007002,50,79,48,177,22,41,27,90,0.44,0.518987342,0.5625,0.508474576
12057007102,33,42,43,118,12,22,13,47,0.363636364,0.523809524,0.302325581,0.398305085
12057007103,27,40,27,94,8,25,14,47,0.296296296,0.625,0.518518519,0.5
12057007200,34,44,32,110,15,23,17,55,0.441176471,0.522727273,0.53125,0.5
12057007300,1,2,0,3,1,1,0,2,1,0.5,#DIV/0!,0.666666667
12057010103,6,12,15,33,5,6,10,21,0.833333333,0.5,0.666666667,0.636363636
12057010105,15,14,13,42,5,7,6,18,0.333333333,0.5,0.461538462,0.428571429
12057010106,9,18,20,47,6,10,12,28,0.666666667,0.555555556,0.6,0.595744681
12057010107,11,27,33,71,5,13,18,36,0.454545455,0.481481481,0.545454545,0.507042254
12057010108,2,6,8,16,1,3,4,8,0.5,0.5,0.5,0.5
12057010203,49,66,43,158,26,32,24,82,0.530612245,0.484848485,0.558139535,0.518987342
12057010204,88,100,140,328,52,65,73,190,0.590909091,0.65,0.521428571,0.579268293
12057010205,32,55,45,132,15,17,18,50,0.46875,0.309090909,0.4,0.378787879
12057010209,72,61,74,207,35,26,40,101,0.486111111,0.426229508,0.540540541,0.487922705
12057010210,29,34,29,92,16,19,12,47,0.551724138,0.558823529,0.413793103,0.510869565
